AGNO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;DOC_GENERO;DOC_FEC_NAC;NIVEL;PF_PJE;PF_ESC;PF_Cat_Carrera;INSTR_PJE;INSTR_ESC
2019;968;7;LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES;4;42;4201;ILLAPEL;43;CHOAPA;2;1;0;19803754;1;195209;7;2,55;C;B;2,73;C
2019;2716;2;ESCUELA MUNICIPAL SAN PEDRO DE ALCANTARA;6;62;6206;PAREDONES;63;CARDENAL CARO;2;1;1;14774056;1;193903;3;2,6;C;B;2,96;C
2019;2123;7;INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS;6;61;6101;RANCAGUA;61;CACHAPOAL;1;1;0;20162323;1;194103;7;1,7;I;E;2,32;B
2019;8548;0;ESCUELA BASICA DR LUIS CALVO MACKENNA;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;9861358;1;194301;3;1,65;I;E;1,89;I
2019;5923;4;LICEO AGRICOLA CRUZ DEL SUR;9;91;9119;VILCÚN;92;CAUTÍN NORTE;3;2;1;20939539;1;195301;7;2,82;C;B;-1;N/A
2019;119;8;ESCUELA CENTENARIO;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;7974384;2;195708;2;2,43;B;C;2,56;C
2019;2123;7;INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS;6;61;6101;RANCAGUA;61;CACHAPOAL;1;1;0;15711566;1;194602;7;1,7;I;E;2,32;B
2019;97;3;INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;8412318;1;194608;7;1,19;I;E;1,35;I
2019;5597;2;COLEGIO ALONSO DE ERCILLA;9;91;9101;TEMUCO;92;CAUTÍN NORTE;2;1;0;20351871;2;195802;5;2,15;B;D;2,37;B
2019;10450;7;ESCUELA CONSOLIDADA;13;132;13201;PUENTE ALTO;136;CORDILLERA;1;1;0;21476316;1;194811;4;2,33;B;C;2,7;C
2019;24721;9;COLEGIO LEONARDO DA VINCI DE LAS CONDES;13;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;1;1;0;5571109;1;195409;4;2,5;B;C;2,8;C
2019;24883;5;ESCUELA BÁSICA MUNICIPAL SAN LUIS;13;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;1;1;0;22520494;2;195709;3;1,45;I;E;2,17;B
2019;1676;4;LICEO BICENTENARIO DE VIÑA DEL MAR;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;1;0;6460592;1;195001;4;1,95;I;E;2,37;B
2019;3016;3;LICEO DE PELARCO;7;71;7106;PELARCO;72;TALCA;2;1;0;7847940;1;194711;7;1;I;E;1;I
2019;8500;6;LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;11943247;1;195406;7;1;I;E;1,2;I
2019;31153;7;INSTITUTO CUMBRES DE CONDORES PONIENTE;13;131;13128;RENCA;134;SANTIAGO PONIENTE;1;1;0;23295245;1;195105;4;1,68;I;E;1,89;I
2019;9695;4;LICEO POLIVALENTE EUGENIO PEREIRA SALAS;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;15740528;1;195108;4;2,2;B;D;2,52;C
2019;5424;0;ESCUELA BASICA SAN LUIS;9;92;9211;VICTORIA;91;MALLECO;2;1;1;5783522;2;194907;2;1,6;I;E;2,26;B
2019;6804;7;ESCUELA RURAL LOS GUINDOS;14;141;14101;VALDIVIA;141;VALDIVIA;2;1;1;14098134;1;195110;2;1,85;I;E;2,21;B
2019;5521;2;ESC. BASICA QUILACO;9;92;9208;PURÉN;91;MALLECO;2;1;1;2555519;1;195710;2;1,9;I;E;2,24;B
2019;8439;5;ESCUELA JUAN WILLIAMS;12;121;12101;PUNTA ARENAS;121;MAGALLANES;1;1;0;22038329;2;196006;2;2,05;B;D;2,73;C
2019;10254;7;CENTRO EDUCACIONAL JOSE MIGUEL CARRERA;13;131;13127;RECOLETA;137;SANTIAGO NORTE;2;1;0;23269560;1;195201;6;1,95;I;E;2,37;B
2019;2104;0;LICEO COMERCIAL DIEGO PORTALES;6;61;6101;RANCAGUA;61;CACHAPOAL;1;1;0;12713673;1;195201;4;2,03;B;D;2,42;B
2019;10545;7;LICEO IND. MIGUEL AYLWIN GAJARDO;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;0;5312763;1;195211;4;1,65;I;E;2,29;B
2019;18006;8;ESCUELA ELISE MOTTART;16;161;16104;EL CARMEN;81;ÑUBLE;2;1;0;13327538;1;195111;3;1,85;I;E;2,41;B
2019;15583;7;LICEO TECNICO PROFESIONAL EL TAMBO;6;61;6117;SAN VICENTE;61;CACHAPOAL;1;1;1;9003280;2;195104;7;1,83;I;E;2,4;B
2019;4988;3;ESCUELA RAFAEL SOTOMAYOR BAEZA;8;81;8102;CORONEL;83;CONCEPCIÓN;2;1;0;4104959;2;195602;3;2,12;B;D;2,67;C
2019;4160;2;LICEO COMERCIAL CAMILO HENRIQUEZ;8;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;23367360;1;195209;7;2,07;B;D;-1;N/A
2019;9874;4;ESCUELA LOTHAR KOMMER BRUGER;13;131;13102;CERRILLOS;134;SANTIAGO PONIENTE;2;1;0;14787982;2;195304;3;1,93;I;E;2,26;B
2019;1674;8;LICEO BENJAMIN VICUNA MACKENA;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;1;0;19593945;1;194707;7;2,07;B;D;2,26;B
2019;988;1;LICEO PARTICULAR LUIS ALBERTO VERA;4;42;4201;ILLAPEL;43;CHOAPA;3;2;0;2959974;2;195110;7;1,74;I;E;-1;N/A
2019;6084;4;LICEO BICENTENARIO ARAUCANÍA;9;91;9120;VILLARRICA;93;CAUTÍN SUR;2;1;0;2510179;1;195309;4;2,15;B;D;2,29;B
2019;10735;2;LICEO POLIV. LUIS HUMBERTO ACOSTA GAY;13;136;13602;EL MONTE;135;TALAGANTE;2;1;0;18198722;1;194702;3;1,8;I;E;2,08;B
